,product_id,product_name,brand,category,skin_type,concern,description,key_ingredients,how_to_use,pro_tip
10,CET-011,Pro AD Derma Repair Cream,Cetaphil,Treatment,"Eczema-Prone, Very Dry","Itching, Eczema",A clinically proven cream to alleviate the symptoms of atopic dermatitis and eczema. It helps rebuild the skin barrier and provides relief from itchiness and dryness.,"Ceramides, Filaggrin Technology, Colloidal Oatmeal",1. Apply liberally as often as needed or as directed by a physician.,"Keep this in the fridge for an extra cooling, soothing effect on itchy flare-ups."
11,CET-012,Gentle Clear Mattifying Acne Moisturizer,Cetaphil,Moisturizer,Acne-Prone,"Sensitive Acne, Breakouts",A lightweight moisturizer that hydrates for 48 hours while treating acne and preventing future breakouts. It has a matte finish to control shine and blur the appearance of pores.,"Salicylic Acid (0.5%), Prebiotics, Bisabolol",1. Cleanse skin thoroughly. 2. Apply a thin layer to the entire face 1-3 times daily.,"Because it contains Salicylic Acid, skip other exfoliants in your routine to avoid irritation."
12,CET-013,Sun SPF 50+ Light Gel,Cetaphil,Sunscreen,"Oily, Sensitive","Sun Protection, Greasiness","A lightweight, high-protection sunscreen gel that absorbs quickly without leaving a sticky residue or white cast. Ideal for daily use on face and body.","Chemical UV Filters, Vitamin E",1. Apply liberally 15 minutes before sun exposure. 2. Reapply every 2 hours.,The gel texture makes this an excellent primer under makeup for oily skin types.
13,CET-014,Sheer Mineral Sunscreen SPF 50,Cetaphil,Sunscreen,Sensitive,"Sun Protection, Chemical Sensitivity",A 100% mineral sunscreen that reflects UV rays. It provides broad-spectrum protection and is gentle enough for the most sensitive skin types.,"Zinc Oxide, Titanium Dioxide, Prebiotics",1. Shake well before use. 2. Apply liberally 15 minutes before sun exposure. 3. Massage in thoroughly to minimize white cast.,"Mineral sunscreens work immediately upon application, unlike chemical ones that need time to absorb."
14,CET-015,Baby Gentle Wash & Shampoo,Cetaphil,Baby Care,Infant/Baby,"Delicate Skin, Tears",A tear-free formula that gently cleanses baby's skin and hair without drying. It leaves a soft fragrance and is hypoallergenic.,"Glycerin, Panthenol","1. Pour into hand or washcloth. 2. Apply to hair and body. 3. Lather, rinse and towel dry.",Gentle enough for adults with hypersensitive skin or rosacea to use as a face wash.
15,CET-016,Rich Hydrating Night Cream,Cetaphil,Moisturizer,"Dry, Normal","Dryness, Dehydration","A rich, nourishing night cream that helps retain skin's natural moisture, protecting it from dryness throughout the night. It leaves skin feeling smooth, soft, and comfortable.","Hyaluronic Acid, Olive Extract, Vitamin E",1. Apply evenly to face at night after cleansing.,Use on damp skin to help the Hyaluronic Acid lock in more water.
16,CET-017,Daily Defense Cream SPF 50+,Cetaphil,Moisturizer/Sunscreen,All Skin Types,"Sun Protection, Daily Defense",A daily facial moisturizer with high broad-spectrum SPF 50+ protection. It nourishes the skin while defending against sun damage.,"Glycerin, UV Filters",1. Apply daily to face and neck. 2. Reapply if spending extended time outdoors.,A great 2-in-1 product for minimalists who want moisturizer and sun protection in one step.
17,CET-018,Pro Eczema Prone Skin Restoring Moisturizer,Cetaphil,Moisturizer,Eczema-Prone,"Itchy, Dry","A specialized lotion that restores the skin barrier and soothes itchy, eczema-prone skin. It is clinically proven to restore the skin's natural moisture barrier.","Ceramides, Filaggrin, Colloidal Oatmeal",1. Apply liberally as often as needed.,Apply immediately after bathing to seal in moisture for eczema relief.
18,CET-019,Baby Daily Lotion,Cetaphil,Baby Care,Infant/Baby,"Dryness, Protection",A gentle baby lotion designed to soothe and nourish delicate baby skin. It contains shea butter to preserve the skin barrier.,"Shea Butter, Glycerin",1. Pour lotion into hand. 2. Rub hands together to warm. 3. Gently massage over baby's body.,Warm the lotion in your hands first to avoid startling the baby with cold cream.
19,CET-020,Healthy Radiance Antioxidant C-Serum,Cetaphil,Serum,All Skin Types,"Dark Spots, Dullness",A potent Vitamin C serum that improves skin radiance and reduces the appearance of dark spots. It defends against surface free radicals.,"Vitamin C, Niacinamide",1. Apply to clean face in the morning. 2. Follow with moisturizer and sunscreen.,Always use sunscreen when using Vitamin C to prevent oxidation on the skin.
20,CET-021,Optimal Hydration 48 Hour Activation Serum,Cetaphil,Serum,"Dry, Dehydrated","Tightness, Sensitive",A lightweight serum that instantly absorbs to deeply replenish skin's hydration for 48 hours. It soothes sensitivity and improves skin quality over time.,"Hyaluronic Acid, Blue Daisy, Vitamin E",1. Apply morning and night to cleansed skin. 2. Follow with a moisturizer.,The Blue Daisy extract is excellent for soothing sensitive skin redness.
21,CET-022,Gentle Makeup Removing Wipes,Cetaphil,Cleanser,All Skin Types,"Makeup Removal, Convenience",Pre-moistened wipes that gently remove makeup and dirt without irritation. They are ultra-soft and perfect for on-the-go cleansing.,"Aloe Vera, Chamomile, Green Tea",1. Lift seal and remove wipe. 2. Gently wipe over face and eyes. 3. Reseal package tightly.,"Use these for the first pass to remove bulk makeup, then follow with a water-based cleanser for a true clean."
22,CET-023,Extra Gentle Daily Scrub,Cetaphil,Exfoliator,All Skin Types,"Dullness, Texture","A gentle facial scrub that exfoliates without over-drying or irritating skin. It removes dirt, oil, and impurities while micro-fine granules buff away dry, dull skin.","Bamboo Extract, Vitamin B5, Vitamin E",1. Squeeze a small amount into hands. 2. Massage onto wet face. 3. Rinse.,"Gentle enough for daily use, unlike harsh apricot scrubs."
23,CET-024,Redness Relieving Night Moisturizer,Cetaphil,Moisturizer,"Sensitive, Redness","Redness, Rosacea","Specially formulated for redness-prone skin, this moisturizer provides continuous hydration to reduce the appearance of redness due to dryness overnight.","Licorice Extract, Allantoin, Caffeine",1. Apply to face at night after cleansing.,Keep away from hot water when washing your face as heat triggers redness; use lukewarm water instead.
24,ORD-001,Multi-Peptide + HA Serum (The Buffet),The Ordinary,Serum,"Mature, All","Aging, Fine Lines, Firmness",A universal formula that combines a comprehensive array of technologies to target multiple signs of aging at once. It improves skin smoothness and targets fine lines and dynamic folds.,"Matrixyl 3000, Syn-Ake, Hyaluronic Acid",1. Apply a few drops to the entire face in the AM and PM after cleaning.,Do not use in the same routine as direct acids (like Glycolic) or pure Vitamin C to avoid destabilizing the peptides.
25,ORD-002,Squalane Cleanser,The Ordinary,Cleanser,All Skin Types,"Makeup Removal, Dryness",A gentle cleansing product formulated to target makeup removal while leaving the skin feeling smooth and moisturized. The formula incorporates Squalane alongside other lipophilic esters that are gentle and effective.,"Squalane, Lipophilic Esters",1. Rub product in hands to warm it until it turns to oil. 2. Massage onto dry face. 3. Rinse with warm water.,"Rubbing it in your hands first is crucial; if you apply it as a cream, it won't remove makeup as effectively."
26,ORD-003,Azelaic Acid Suspension 10%,The Ordinary,Treatment,"Acne-Prone, Rosacea","Redness, Texture, Blemishes","Found in grains, Azelaic Acid is produced naturally by yeast that lives on normal skin. It brightens the skin tone while visibly improving the evenness of skin texture and reducing the look of blemishes.",Azelaic Acid 10%,1. Apply to face AM and/or PM to improve visible brightness and the appearance of skin texture.,"This creates a matte finish, so it works well as a spot treatment under makeup."
27,ORD-004,Glucoside Foaming Cleanser,The Ordinary,Cleanser,Sensitive,Barrier Support,A gel-like foaming cleanser that effectively helps remove dirt and environmental impurities. It respects the skin's barrier and improves the look of skin clarity with continued use.,"Decyl Glucoside, Coco-Glucoside",1. Dispense product into hands. 2. Massage on wet face. 3. Rinse.,"This is much gentler than sulfate cleansers; don't expect a massive foam explosion, just a gentle lather."
28,ORD-005,Hyaluronic Acid 2% + B5,The Ordinary,Serum,"All, Dry","Dehydration, Plumping","A hydration support formula with ultra-pure, vegan hyaluronic acid. It combines low, medium, and high-molecular weight HA to offer multi-depth hydration.","Hyaluronic Acid, Vitamin B5",1. Apply a few drops to face AM and PM before creams.,"Always apply to damp skin. HA needs water to grab onto; if applied to dry skin in a dry climate, it can dry you out further."
29,ORD-006,Niacinamide 10% + Zinc 1%,The Ordinary,Serum,"Oily, Acne-Prone","Blemishes, Sebum Control, Pores","A high-strength vitamin and mineral blemish formula. Niacinamide (Vitamin B3) reduces the appearance of skin blemishes and congestion, while Zinc salt balances visible sebum activity.","Niacinamide, Zinc PCA",1. Apply to entire face morning and evening before heavier creams.,"If you experience pilling (balling up), try patting it into the skin rather than rubbing, or use less product."
30,ORD-007,Retinol 1% in Squalane,The Ordinary,Serum,"Mature, Acne","Aging, Texture","A water-free solution containing 1% pure Retinol. This potent treatment reduces the appearance of fine lines, photodamage, and general skin aging.","Retinol, Squalane, Jojoba Oil",1. Apply a small amount to face in the PM as part of your skincare regimen. 2. Do not use with other retinoid treatments.,Store in the fridge after opening to keep the Retinol fresh and effective for longer.
31,ORD-008,Salicylic Acid 2% Solution,The Ordinary,Serum,Acne-Prone,"Congestion, Blackheads",A water-based serum formulated to target textural irregularities and remove dead skin cells that can clog pores. It helps clear existing blemishes and prevents new ones.,"Salicylic Acid, Witch Hazel",1. Apply a small dot directly on spots for visible improvement or apply a small amount over the face to maintain visible clarity.,Use sunscreen during the day as Salicylic Acid can increase sun sensitivity.
32,ORD-009,Matrixyl 10% + HA,The Ordinary,Serum,Mature,"Aging, Wrinkles",A high-strength peptide formulation which has been shown to reduce the look of static and dynamic wrinkles. It stimulates collagen production for firmer skin.,"Matrixyl 3000, Matrixyl Synthe'6, Hyaluronic Acid",1. Apply a few drops to face AM and PM.,A great alternative to Retinol if your skin is too sensitive for retinoids but you want anti-aging benefits.
33,ORD-010,Ethylated Ascorbic Acid 15% Solution,The Ordinary,Serum,All Skin Types,"Dullness, Aging, Uneven Tone","An exceptionally stable solution of Vitamin C that acts directly like Vitamin C. It offers a direct-acting approach to achieving a radiant, healthy-looking skin tone.",Ethylated Ascorbic Acid,1. Apply a few drops to face AM and PM.,"Unlike other Vitamin C serums, this one has an oil-like texture but is water-free; give it a moment to absorb."
34,ORD-011,100% Plant-Derived Squalane,The Ordinary,Oil/Balm,"Dry, Dehydrated","Dryness, Moisture Lock","A pure, lightweight, non-comedogenic oil that provides surface hydration and helps prevent loss of moisture. It can also be used on hair to increase heat protection.",Squalane (100%),1. Apply a few drops daily or as needed to entire face ideally after water-based treatments.,Excellent for mixing with a heavy foundation to shear it out and add glow.
35,ORD-012,Natural Moisturizing Factors + HA,The Ordinary,Moisturizer,All Skin Types,"Dryness, Barrier Support",A surface hydration formula that mimics the skin's natural moisturizing factors. It offers non-greasy hydration and barrier support.,"Amino Acids, Hyaluronic Acid, Ceramides",1. Apply after serums as needed for effective surface hydration.,"This has a thicker, almost stiff texture initially but melts instantly into the skin without feeling greasy."
36,ORD-013,Salicylic Acid 2% Masque,The Ordinary,Mask,"Oily, Acne-Prone","Blackheads, Congestion, Dullness",A charcoal and clay-infused mask that targets lackluster tone and textural irregularities. It leaves skin feeling refreshed and smooth.,"Salicylic Acid, Charcoal, Amazonian Clays","1. Use once or twice a week on thoroughly clean, dry skin. 2. Leave on for no more than 10 minutes. 3. Rinse thoroughly.","Do not use on wet skin, and do not exceed 10 minutes to avoid chemical burns or irritation."
37,ORD-014,Vitamin C Suspension 23% + HA Spheres 2%,The Ordinary,Treatment,All Skin Types,"Dullness, Aging",A water-free suspension of 23% L-Ascorbic Acid powder. It provides maximum Vitamin C potency for brightening and anti-aging.,"L-Ascorbic Acid, Hyaluronic Acid",1. Apply a small amount to face in the AM or PM (PM preferred).,You will feel a strong tingling sensation and a gritty texture; this is normal. Mix with moisturizer to buffer the sting.
38,ORD-015,Alpha Arbutin 2% + HA,The Ordinary,Serum,All Skin Types,"Hyperpigmentation, Dark Spots",A concentrated serum with purified Alpha Arbutin to reduce the looks of spots and hyperpigmentation. Supported with HA for enhanced delivery.,"Alpha Arbutin, Hyaluronic Acid",1. Apply a few drops to face in the AM and PM as part of your skincare regimen.,"Must be used with sunscreen, otherwise dark spots will just return due to UV exposure."
39,ORD-016,Glycolic Acid 7% Toning Solution,The Ordinary,Toner,All (except sensitive),"Dullness, Texture, Pores",An exfoliating toner that offers mild exfoliation for improved skin radiance and visible clarity. The formula also improves the appearance of skin texture with continued use.,"Glycolic Acid, Tasmanian Pepperberry, Ginseng","1. Use ideally in the PM, no more frequently than once per day. 2. Saturate a cotton pad and sweep across face and neck.","Also works wonders on rough elbows, knees, or even armpits to reduce odor and brighten skin."
40,ORD-017,Lactic Acid 10% + HA,The Ordinary,Serum,"Dry, Mature","Texture, Dullness, Uneven Tone","A high-strength lactic acid superficial peeling formulation. Lactic acid is a gentler AHA than Glycolic, making this better for those who want exfoliation but have drier skin.","Lactic Acid, Tasmanian Pepperberry","1. Apply once per day, ideally in the PM.","If 10% is too strong, dilute it with other treatments to reduce strength until your skin adjusts."
41,ORD-018,Caffeine Solution 5% + EGCG,The Ordinary,Serum (Eye),All Skin Types,"Dark Circles, Puffiness","A light-textured formula containing an extremely high 5% concentration of caffeine, supplemented with highly-purified Epigallocatechin Gallatyl Glucoside (EGCG) from green tea leaves.","Caffeine, EGCG (Green Tea)",1. Massage a small amount onto the eye contour AM and PM.,This works best on puffiness caused by fluid retention; it won't fix dark circles caused by bone structure or shadow.
42,ORD-019,100% Organic Cold-Pressed Rose Hip Seed Oil,The Ordinary,Oil,"Dry, Aging","Aging, Dehydration, Dullness","A daily support formula for all skin types. Rose Hip Seed Oil is rich in linoleic acid, linolenic acid, and pro-vitamin A, making it excellent for anti-aging.",Rose Hip Seed Oil,"1. Apply once a day to the face, ideally at bedtime after water-based application.",Known to help with scars and photo-aging marks over time.
43,CER-001,Hydrating Cleanser,CeraVe,Cleanser,Normal to Dry,"Dryness, Barrier Repair",A non-foaming lotion cleanser that removes dirt and oil without disrupting the skin's natural protective barrier. It contains 3 essential ceramides and hyaluronic acid.,"Ceramides 1/3/6-II, Hyaluronic Acid, Glycerin","1. Wet skin with lukewarm water. 2. Massage cleanser into skin in a gentle, circular motion. 3. Rinse.","Because it doesn't foam, it might feel like lotion. Trust that it is cleaning your skin!"
44,CER-002,Foaming Cleanser,CeraVe,Cleanser,Normal to Oily,"Oil Control, Makeup Removal","A refreshing gel foaming action that gently cleanses and refreshes skin. It effectively removes excess oil, dirt, and makeup without stripping the skin.","Ceramides, Niacinamide, Hyaluronic Acid",1. Wet skin with lukewarm water. 2. Massage cleanser into skin. 3. Rinse.,Great for teenagers or those dealing with hormonal oil surges.
45,CER-003,SA Smoothing Cleanser,CeraVe,Cleanser,Rough & Bumpy,"Texture, Keratosis Pilaris","Designed to improve skin texture while cleansing. The Salicylic Acid exfoliates while ceramides ensure the skin barrier stays intact. Great for ""strawberry legs"" or rough arms.","Salicylic Acid, Ceramides, Hyaluronic Acid",1. Massage onto wet skin. 2. Rinse. 3. Avoid direct contact with eyes.,Leave it on the skin for 60 seconds before rinsing to let the Salicylic Acid penetrate the pores.
46,CER-004,Hydrating Cream-to-Foam Cleanser,CeraVe,Cleanser,Normal to Dry,"Makeup Removal, Dryness","Begins as a cream to hydrate and transforms into a foam to deep clean. It removes dirt, oil, pollution, and even long-wear makeup.","Amino Acids, Ceramides, Hyaluronic Acid",1. Wet face. 2. Rub cleanser to create foam. 3. Massage onto face and eye area. 4. Rinse well.,"The best ""one-step"" cleanser if you wear makeup but hate double cleansing."
47,CER-005,Blemish Control Cleanser,CeraVe,Cleanser,Acne-Prone,"Blackheads, Whiteheads",A gel-to-foam cleanser with 2% Salicylic Acid and Hectorite Clay to absorb oil and reduce the appearance of blemishes.,"Salicylic Acid, Hectorite Clay, Niacinamide",1. Use morning and evening. 2. Apply to wet hands and massage into skin. 3. Rinse thoroughly.,Can be drying if overused; start with once a day if you have sensitive skin.
48,CER-006,Moisturising Cream,CeraVe,Moisturizer,Dry to Very Dry,"Barrier Repair, Eczema","A rich, non-greasy, fast-absorbing cream. It features MVE Delivery Technology to release moisturizing ingredients for 24-hour hydration.","Ceramides, Hyaluronic Acid, Petrolatum","1. Apply liberally as often as needed, or as directed by a physician.",This is thick enough to be used as a body cream but gentle enough for the face.
49,CER-007,PM Facial Moisturizing Lotion,CeraVe,Moisturizer,All Skin Types,"Nighttime Repair, Redness","An ultra-lightweight, unique formula that moisturizes throughout the night and helps restore the protective skin barrier. It is oil-free and non-comedogenic.","Niacinamide, Ceramides, Hyaluronic Acid","1. Apply liberally to face and neck at night, or as directed by a physician.","Despite the name ""PM"", you can use this in the morning if you want a lightweight moisturizer without SPF."
50,CER-008,AM Facial Moisturizing Lotion SPF 30,CeraVe,Moisturizer,All Skin Types,"Sun Protection, Hydration",A morning multitasker that provides all-day hydration and broad-spectrum sun protection. It helps restore the protective skin barrier.,"Homosalate, Zinc Oxide, Ceramides, Niacinamide",1. Apply liberally 15 minutes before sun exposure. 2. Reapply at least every 2 hours if outdoors.,It takes a minute to rub in due to the Zinc Oxide; warm it in your fingers first to reduce the white cast.
51,CER-009,Resurfacing Retinol Serum,CeraVe,Serum,Acne-Prone,"Post-Acne Marks, Pores","Encapsulated retinol helps resurface the skin to reduce the appearance of post-acne marks and pores, while Licorice Root Extract brightens the skin's appearance.","Encapsulated Retinol, Licorice Root Extract, Ceramides","1. Apply evenly to face daily. 2. Avoid contact with eyes and lips. 3. If contact occurs, rinse thoroughly with water.","Encapsulated retinol is slower released, making this one of the best ""beginner"" retinols for sensitive skin."
52,CER-010,Eye Repair Cream,CeraVe,Treatment,All Skin Types,"Dark Circles, Puffiness",Reduces the look of dark circles and puffiness while restoring the delicate skin barrier around your eyes.,"Marine & Botanical Complex, Ceramides",1. Apply in small dots around the eye area. 2. Gently smooth until thoroughly absorbed.,"Use your ring finger to apply, as it applies the least amount of pressure to delicate eye skin."
53,CER-011,Blemish Control Gel,CeraVe,Treatment,Acne-Prone,"Active Breakouts, Pores","A hydrating, daily acne treatment with 2% salicylic acid that clears acne and helps prevent new breakouts from forming. It also offers gentle exfoliation with AHAs.","Salicylic Acid, Glycolic Acid, Lactic Acid",1. Cleanse skin thoroughly. 2. Cover the entire affected area with a thin layer one to three times daily.,This is a powerful treatment. Do not layer with other strong acids or retinols immediately to avoid chemical burns.
54,CER-012,Hydrating Foaming Oil Cleanser,CeraVe,Cleanser,"Dry, Very Dry","Dryness, Eczema","A unique formula that cleanses, hydrates, and comforts without disrupting the skin barrier. It starts as an oil and lathers into a soft foam.","Squalane Oil, Triglycerides, Ceramides",1. Massage into wet skin. 2. Rinse well.,Perfect for atopic-prone skin or those who find regular foaming cleansers too tight.
55,CER-013,Oil Control Moisturizing Gel-Cream,CeraVe,Moisturizer,"Oily, Combination","Shine, Excess Oil",A lightweight gel-cream that provides hydration while absorbing excess oil for a matte finish. It uses oil-absorbing technology to prevent shine.,"Ceramides, Hyaluronic Acid, Niacinamide",1. Apply liberally to face and neck.,Acts as a great primer for makeup on oily skin.
56,CER-014,AM Facial Moisturizing Lotion SPF 50,CeraVe,Moisturizer,All Skin Types,"Sun Protection, Hydration",Provides broad spectrum SPF 50 protection with InVisibleZinc™ Technology (microfine zinc oxide) that spreads easily and dries with a clear finish.,"Zinc Oxide, Niacinamide, Ceramides",1. Apply liberally 15 minutes before sun exposure.,"This offers higher protection than the standard AM lotion, making it better for summer or intense sun days."
57,CER-015,SA Smoothing Cream,CeraVe,Moisturizer,"Rough, Bumpy","Texture, Keratosis Pilaris","Designed to exfoliate, soften, and smooth rough skin while restoring the skin barrier. Ideal for bumpy skin on arms and legs.","Salicylic Acid, Lactic Acid, Urea",1. Apply to affected areas only or as needed.,"Use this in conjunction with the SA Cleanser for faster results on ""strawberry legs""."
58,CER-016,Skin Renewing Night Cream,CeraVe,Moisturizer,"Mature, Dry","Aging, Wrinkles, Tiredness",Designed to work with your natural circadian rhythm to help restore your skin barrier overnight. It contains biomimetic peptides to improve the appearance of tired skin.,"Peptides, Ceramides, Hyaluronic Acid",1. Apply in small dots around the face and smooth gently until absorbed.,This is thicker than the PM Lotion; use it if you need serious anti-aging repair.
59,CER-017,Skin Renewing Vitamin C Serum,CeraVe,Serum,All Skin Types,"Dullness, Aging",A potent Vitamin C serum that brightens skin and helps even out skin tone. It is formulated with 10% pure Vitamin C (L-ascorbic acid).,"Vitamin C (10%), Ceramides, Vitamin B5",1. Apply evenly to face and neck daily.,Packaging matters! Keep the cap tight to prevent the Vitamin C from oxidizing and turning brown.
60,CER-018,Reparative Hand Cream,CeraVe,Body Care,"Dry, Cracked Hands","Dryness, Chapping","Specifically formulated for dry, rough hands. It relieves dryness and helps restore the protective skin barrier.","Ceramides, Niacinamide, Hyaluronic Acid",1. Apply generously as needed.,Apply a thick layer before bed and wear cotton gloves for an overnight intensive mask.
61,CER-019,Micellar Cleansing Water,CeraVe,Cleanser,All Skin Types,"Makeup Removal, Sensitivity","An ultra-gentle cleansing formula that removes dirt, pollution, and makeup without rinsing. It features niacinamide to calm the skin.","Niacinamide, Ceramides",1. Saturate a cotton pad. 2. Wipe gently over face and eyes. 3. No need to rinse.,Use this as a morning cleanse if your water is too hard (high mineral content) which can irritate skin.
62,CER-020,Healing Ointment,CeraVe,Treatment,"Very Dry, Cracked","Cracking, Chafing, Cuts","A petrolatum-based balm that protects and soothes dry, cracked, and chafed skin. It is non-comedogenic and suitable for sensitive skin.","Petrolatum, Ceramides, Hyaluronic Acid",1. Apply as needed to cracked or dry areas.,"Use this for ""slugging"" (applying a thin layer over your moisturizer at night) to trap moisture in."
